path;TITLE;ABSTRACT;ABSTRACTGERMAN;KEYWORDS;AUTHORS;EMAILS;AUTHOR_EMAILS;AFFILIATIONS;AUTHOR_AFFILIATIONS;SOURCE;VOLUME;ISSUE;PAGE_FROM;PAGE_TO;YEAR;DOI;SECTIONS;REFERENCES
D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-137078-xstream.xml;1.0;1.0;NA;NA;0;0;0;NA;0;NA;NA;NA;NA;NA;NA;NA;0.888888888888889;0.0
D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-138011-xstream.xml;1.0;1.0;NA;NA;0;0;0;NA;0;NA;NA;NA;NA;NA;NA;NA;1.0;0.0
D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-138447-xstream.xml;0.0;0.0;NA;NA;0;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;0.48;0.0
D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-138544-xstream.xml;1.0;1.0;NA;NA;0;0;0;NA;0;NA;NA;NA;NA;NA;NA;NA;0.5454545454545454;0.0
D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-138547-xstream.xml;1.0;1.0;NA;NA;0;0;0;NA;0;NA;NA;NA;NA;NA;NA;NA;0.6666666666666666;0.0
D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-139299-xstream.xml;1.0;1.0;NA;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;0;NA;0.8;0.0
D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-139761-xstream.xml;1.0;0;0;NA;0;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;0.21739130434782605;0.0
D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-139769-xstream.xml;1.0;0;0;NA;0;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;0.2872340425531915;0.0
D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-139781-xstream.xml;1.0;NA;NA;NA;0;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;1.0;0.0
D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-139785-xstream.xml;1.0;0;0;NA;0;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;0.4761904761904762;0
D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-140047-xstream.xml;1.0;1.0;NA;NA;0;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;0.48;0.0
D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-140048-xstream.xml;1.0;1.0;NA;NA;0;0;0;NA;0;NA;NA;NA;NA;NA;NA;NA;0.6363636363636364;0.0
D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-140229-xstream.xml;1.0;1.0;NA;NA;0;0;0;NA;0;NA;NA;NA;NA;NA;NA;NA;0.8;0.0
D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-140253-xstream.xml;1.0;1.0;NA;NA;0;0;0;NA;0;NA;NA;NA;NA;NA;NA;NA;1.0;0.0
D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-140308-xstream.xml;1.0;1.0;NA;NA;0;0;0;NA;0;NA;NA;NA;NA;NA;NA;NA;0.631578947368421;0.0
D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-140533-xstream.xml;1.0;0;0;NA;0;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;0.10144927536231885;0.0
D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-140867-xstream.xml;1.0;1.0;NA;NA;0;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;0.8333333333333333;0.0
D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-140895-xstream.xml;0.0;0;0;NA;0;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;0.5333333333333333;0
D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-140983-xstream.xml;1.0;0.0;NA;NA;0;0;0;NA;0;NA;NA;NA;NA;NA;NA;NA;0.8571428571428571;0.0
D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-141024-xstream.xml;1.0;1.0;NA;NA;0;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;0.8571428571428571;0.0
D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-141065-xstream.xml;1.0;1.0;NA;NA;0;0;0;NA;0;NA;NA;NA;NA;NA;NA;NA;0.6666666666666666;0.0
D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-141121-xstream.xml;1.0;1.0;NA;NA;0;0;0;NA;0;NA;NA;NA;NA;NA;NA;NA;0.7272727272727273;0.0
D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-141140-xstream.xml;1.0;1.0;NA;NA;0;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;0.6875000000000001;0.0
D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-141336-xstream.xml;1.0;1.0;NA;NA;0;0;0;NA;0;NA;NA;NA;NA;NA;NA;NA;0.5555555555555556;0.0
D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-141618-xstream.xml;1.0;1.0;NA;NA;0;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;1.0;0.0
D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-141758-xstream.xml;1.0;0.0;0;NA;0;NA;0;NA;0;NA;NA;NA;NA;NA;0;NA;0.5;0
D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-168222-xstream.xml;0.0;1.0;NA;NA;0;0;0;NA;0;NA;NA;NA;NA;NA;NA;NA;0.0;0
D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-168482-xstream.xml;1.0;0;0;NA;0;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;0.2619047619047619;0
D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-169511-xstream.xml;1.0;NA;NA;NA;0;0;0;NA;0;NA;NA;NA;NA;NA;NA;NA;0.888888888888889;0.0
D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-172697-xstream.xml;0.0;1.0;NA;0;0;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;0.4;0
D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-174216-xstream.xml;1.0;1.0;NA;0;0;NA;0;NA;0;0;0;0;0;0;0;NA;0.6666666666666666;0.0
D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-175428-xstream.xml;0.0;0;0;NA;0;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;0.0;0
D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-176087-xstream.xml;1.0;0.0;NA;0;0;0;0;NA;0;NA;NA;NA;NA;NA;NA;NA;0.8571428571428571;0.0
D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-177140-xstream.xml;1.0;0.0;NA;NA;0;0;0;NA;0;NA;NA;NA;NA;NA;NA;NA;0.8000000000000002;0.0
D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-179146-xstream.xml;1.0;1.0;NA;NA;0;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;0.8333333333333333;0.0
D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-180162-xstream.xml;1.0;1.0;NA;NA;0;0;0;NA;0;NA;NA;NA;NA;NA;NA;NA;0.4666666666666667;0.0
D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-181199-xstream.xml;1.0;1.0;NA;NA;0;0;0;NA;0;NA;NA;NA;NA;NA;NA;NA;0.8;0.0
D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-182414-xstream.xml;1.0;0;NA;NA;0;0;0;NA;0;NA;NA;NA;NA;NA;NA;NA;0;0
D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-182899-xstream.xml;1.0;1.0;NA;NA;0;0;0;NA;0;NA;NA;NA;NA;NA;NA;NA;0.41379310344827586;0.0
D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-185321-xstream.xml;1.0;1.0;NA;NA;0;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;0.0;0
D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-185441-xstream.xml;1.0;1.0;NA;NA;0;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;0;0
D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-186227-xstream.xml;1.0;1.0;NA;NA;0;NA;0;NA;0;NA;NA;NA;NA;NA;NA;NA;0.0;0
